Assettype Quantity,Associatedgsp,Bulk supply point,Connectivity Voltage(kv),Constraint description,Constraint occurrence year,Constraint season,Current status,Customers served,Dnoa result,Dnoa result description,Dnoa result history 2023,Dnoa result history 2024,Dnoa result history 2025,Deviation,Deviation Percentage,ECR < 1MVA Accepted to connect,ECR < 1MVA Already connected,ECR > 1MVA Accepted to connect,ECR > 1MVA Already connected,Expectedcompletionyear,Expectedstartyear,Firm Capacity,Flexibility procurement 2024/25,Flexibility procurement 2025/26,Flexibility procurement 2026/27,Flexibility procurement 2027/28,Flexibility procurement 2028/29,Generation Capacity,Generation Headroom Mw,Grid supply point,Justification,Ltdsname,Site,Spare Summer,Spare Winter,Substation title,Substation Or Circuit,Total gen <1 (mw),Total gen >1 (mw),Total Ecr Capacity,Traditional solution,Transformer 1 Summer,Transformer 1 Winter,Transformer 2 Summer,Transformer 2 Winter,Transformer 3 Summer,Transformer 3 Winter,Transformer 4 Summer,Transformer 4 Winter,Transformer 5 Summer,Transformer 5 Winter,Transformer 6 Summer,Transformer 6 Winter,Transformer 7 Summer,Transformer 7 Winter,Transformer 8 Summer,Transformer 8 Winter,Type,Assessment Date,Asset Export Limit,Asset Import Limit,Calculated Resistance,County,Date Commissioned,Easting,Grid Reference,Installed Capacity MVA,Last Report,Licence Area,Local Authority,Local Authority Code,Max Demand Summer,Max Demand Winter,Maximum Observed Power Flow,Measured Resistance (Ohm),Minimum Observed Power Flow,Next Assessment Date,Northing,Postcode,Power Transformer Count,Reverse Power,Site Classification,Site Functional Location,Site Name,Site Type,Site Voltage,Spatial Coordinates,Street,Suburb,Technical Limit Export,Technical Limit Import Access Period,Technical Limit Import Summer,Technical Limit Import Winter,Town City,Transformer Rating Summer,Transformer Rating Winter,What3Words
,,Halesworth Grid 33kV,,,,,,,,,,,,Yes,5.0067018844122115,0.0,0.0,94.0,26.48,,,43.2,,,,,,45.0,-75.48,Bramford,,,,10.08,21.22,,,0.0,120.48,120.48,,45.0,59.0,45.0,59.0,,,,,,,,,,,,,,2021-11-03,1046.0,960.0,0.23Ω 0.00Deg,Suffolk,1931-04-01,639105,TM3910578955,126.83000000000001,ELP06148-R01,Eastern Power Networks (EPN),East Suffolk,E07000244,34.5,36.9,492.64,0.08,-171.99,2031-11-30,278955,IP19 8QJ,2,100%,COLD,EPN-S0000000D5053,HALESWORTH GRID 132/33kV,Grid Substation,132,"52.3564655534, 1.50991343666374",\N,\N,481.4,532.6,436.1,518.6,HALESWORTH,"45, 45","59, 59",exile.appointed.triangle
,,WICKHAM MARKET GRID 132/33kV,,,,,,,,,,,,No,4.99714991449744,0.0,0.0,185.0,15.0,,,57.6,,,,,,60.0,-140.0,BRAMFORD GRID 132kV,,,,19.1,29.38,,,0.0,200.0,200.0,,60.0,78.0,60.0,78.0,,,,,,,,,,,,,,2015-11-17,0.0,0.0,1.18Ω 0.00Deg,Suffolk,1964-04-01,630287,TM3028759707,210.52,ESL0951036-R01 RB,Eastern Power Networks (EPN),East Suffolk,E07000244,40.1,47.4,0.0,0.37,0.0,2031-11-26,259707,IP13 9ND,2,100%,HOT,EPN-S0000000D5073,WICKHAM MARKET GRID 132/33kV,Grid Substation,132,"52.1874930946002, 1.36753668530461",\N,\N,0.0,0.0,0.0,0.0,HACHESTON,"60, 60","78, 78",snacks.remaining.untruth
Establish new 132/11kV substation,Barking C 132kV,Trowse Grid 33kV,132/11,,,,,,,,,,,Yes,47.35780556676079,0.0,0.0,98.0,32.5,2025,2021,86.4,,,,,,90.0,-40.5,Norwich Main,Load related reinforcement,Nelson Street 11kV,,8.45,16.99,,Nelson Street,0.0,130.5,130.5,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2017-02-15,0.0,0.0,0.22Ω 0.00Deg,Norfolk,1966-04-01,624090,TG24090626,247.9,ESL0951039-R02 RA,Eastern Power Networks (EPN),South Norfolk,E07000149,81.2,99.3,0.0,0.09,0.0,2030-11-30,306260,NR14 8SL,2,100%,HOT,EPN-S0000000D5084,TROWSE GRID 132/33kV,Grid Substation,132,"52.6078675543899, 1.30817283390477",\N,\N,0.0,0.0,0.0,0.0,TROWSE,"90, 90","117, 117",upgrading.react.chair
,,Ilketshall Grid 33kV,,,,,,,,,,,,No,4.998611496806448,0.0,0.0,69.63,33.0,,,57.6,,,,,,60.0,-42.629999999999995,Bramford,,,,35.14,50.4,,,0.0,102.63,102.63,,60.0,78.0,60.0,78.0,,,,,,,,,,,,,,1996-07-12,1046.0,960.0,10.10Ω 0.00Deg,Suffolk,1948-04-01,638636,TM3863688021,108.03,S9627,Eastern Power Networks (EPN),East Suffolk,E07000244,23.4,25.5,492.64,\N,-171.99,2028-11-30,288021,NR34 8JP,2,100%,COLD,EPN-S0000000D5089,ILKETSHALL GRID 132/33kV,Grid Substation,132,"52.438021143301, 1.50949530315185",\N,\N,481.4,532.6,436.1,518.6,ILKETSHALL ST ANDREW,"60, 60","78, 78",snips.angry.dabble
,,March Grid 33kV,,,,,,,,,,,,Yes,19.41745816372684,0.0,0.0,61.7,70.316,,,43.2,,,,,,45.0,-87.01600000000002,Walpole,,,,6.91,13.63,,,0.0,132.01600000000002,132.01600000000002,,45.0,59.0,45.0,59.0,,,,,,,,,,,,,,2013-12-04,960.0,960.0,NA,Cambridgeshire,1962-04-01,540788,TL4078896510,110.55,P-13-3302-01,Eastern Power Networks (EPN),Fenland,E07000010,37.8,44.8,337.91,0.08,-382.73,2028-11-26,296510,PE15 9RH,2,100%,COLD,EPN-S0000000D6065,MARCH GRID 132/33kV,Grid Substation,132,"52.5482388436914, 0.0748765202284335",\N,\N,0.0,0.0,0.0,0.0,MARCH,"45, 45","59, 59",cone.ringers.share
,,Walsoken Grid 33kV,,,,,,,,,,,,Yes,5.001767408978434,0.0,0.0,0.0,53.75,,,86.4,,,,,,90.0,36.25,Walpole,,,,45.41,58.85,,,0.0,53.75,53.75,,90.0,120.0,90.0,120.0,,,,,,,,,,,,,,2012-01-20,960.0,960.0,NA,Cambridgeshire,1965-04-01,548214,TF4821409250,56.58,P-11-1338-02,Eastern Power Networks (EPN),King's Lynn and West Norfolk,E07000146,42.7,58.7,337.91,0.08,-382.73,2028-11-26,309250,PE14 7BQ,2,100%,COLD,EPN-S0000000D6077,WALSOKEN GRID 132/33kV,Grid Substation,132,"52.6607159075881, 0.190011771658331",WALSOKEN GRID 132/33,\N,0.0,0.0,0.0,0.0,WISBECH,"90, 90","120, 120",renamed.domain.rafters
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,86.4,,,,,,90.0,90.0,,,,,41.76,34.27,,,0.0,0.0,0.0,,90.0,108.0,90.0,108.0,,,,,,,,,,,,,,2021-08-04,0.0,0.0,1.41Ω 0.00Deg,Essex,1965-04-01,554341,TQ5434186849,0.0,ELP05282039-R01,Eastern Power Networks (EPN),Havering,E09000016,46.5,72.3,0.0,0.08,0.0,2037-11-26,186849,RM12 6HB,2,100%,COLD,EPN-S0000000D7046,HORNCHURCH GRID 132/33KV,Grid Substation,132,"51.5594096902223, 0.225088306836665",ST MARYS LANE,HORNCHURCH,0.0,0.0,0.0,0.0,UPMINSTER,"90, 90","108, 108",rear.dots.tile
,,Bishops Stortford Grid 33kV,,,,,,,,,,,,Yes,5.000863707030569,0.0,0.0,109.99000000000001,0.0,,,86.4,,,,,,90.0,-19.99000000000001,Pelham,,,,39.07,42.72,,,0.0,109.99000000000001,109.99000000000001,,90.0,108.0,90.0,108.0,,,,,,,,,,,,,,2022-09-07,240.0,240.0,0.23Ω 0.00Deg,Hertfordshire,1966-04-01,547530,TL4753022134,115.78,ELP07260032-R01,Eastern Power Networks (EPN),East Hertfordshire,E07000242,49.3,63.5,168.02,0.07,10.54,2038-11-26,222134,CM23 2QE,2,100%,COLD,EPN-S0000000D7059,BISHOPS STORTFORD GRID 132/33kV,Grid Substation,132,"51.8782623044817, 0.141840215127366",\N,\N,347.0,285.0,238.8,297.9,BISHOPS STORTFORD,"90, 90","108, 108",save.richer.lectured
,,Brimsdown North Grid 33kV,,,,,,,,,,,,Yes,5.003166561114624,0.0,0.0,10.0,20.0,,,86.4,,,,,,90.0,60.0,Brimsdown (EPN),,,,19.58,33.98,,,0.0,30.0,30.0,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2021-09-21,720.0,720.0,0.04Ω 0.00Deg,Middlesex,1960-04-01,536739,TQ3673997881,31.58,ELP05282040-R01,Eastern Power Networks (EPN),Enfield,E09000010,69.6,81.6,204.9,0.04,71.22,2037-11-26,197881,EN3 7PY,2,100%,HOT,EPN-S0000000D7085,BRIMSDOWN NORTH GRID 132/33kV,Grid Substation,132,"51.6630808320757, -0.0243613028809124",BRANCROFT WAY,\N,-69.8,190.5,147.1,206.6,ENFIELD EN3,"90, 90","117, 117",spoken.quarrel.locked
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,86.4,,,,,,90.0,90.0,,,,,52.7,67.78,,,0.0,0.0,0.0,,90.0,120.0,90.0,120.0,,,,,,,,,,,,,,2018-10-03,0.0,0.0,0.18Ω 0.00Deg,Greater London,1964-04-01,530710,TQ30718905,0.0,ELP0061032-R01,Eastern Power Networks (EPN),Haringey,E09000014,35.1,49.4,0.0,0.07,0.0,2034-11-26,189050,N8 9BD,2,100%,COLD,EPN-S0000000D7098,HORNSEY GRID 132/33kV,Grid Substation,132,"51.5851553463128, -0.114771695980871",\N,\N,0.0,0.0,0.0,0.0,HORNSEY,"90, 90","120, 120",toys.pound.hooked
,,Harlow West Grid 33kV,,,,,,,,,,,,No,0.0,0.0,0.0,105.0,0.0,,,172.8,,,,,,90.0,-15.0,Rye House,,,,131.71,171.55,,,0.0,105.0,105.0,,90.0,117.0,90.0,117.0,90.0,117.0,,,,,,,,,,,,2012-12-28,240.0,480.0,0.09Ω 14.00Deg,Essex,1956-04-01,542704,TL4270409263,0.0,P-12-2056-01,Eastern Power Networks (EPN),Harlow,E07000073,42.8,55.3,274.6,\N,97.29,2040-11-22,209263,CM19 5AH,3,100%,COLD,EPN-S0000000D7148,HARLOW WEST GRID 132/33kV,Grid Substation,132,"51.7638697986445, 0.0664813521584316",\N,\N,-60.5,274.6,215.4,274.0,HARLOW,"90, 90, 90","117, 117, 117",clues.themes.behind
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,86.4,,,,,,90.0,90.0,,,,,47.81,66.05,,,0.0,0.0,0.0,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2019-08-23,0.0,0.0,0.67Ω 6.30Deg,Hertfordshire,1965-04-01,511960,TQ11969815,0.0,ELP02011020-R01,Eastern Power Networks (EPN),Watford,E07000103,40.2,48.2,0.0,0.1,0.0,2035-11-26,198150,WD24 7TG,2,100%,HOT,EPN-S0000000D8006,BUSHEY MILL GRID 132/33kV,Grid Substation,132,"51.670976638723, -0.382370800818844",BUSHEY MILL LANE,PINNER,0.0,0.0,0.0,0.0,WATFORD,"90, 90","117, 117",cycles.being.ducks
,,Letchworth Grid 33kV,,,,,,,,,,,,Yes,5.000397487876625,0.0,0.0,73.5,46.0,,,86.4,,,,,,90.0,-29.5,Wymondley,,,,26.69,24.86,,,0.0,119.5,119.5,,90.0,108.0,90.0,108.0,,,,,,,,,,,,,,2015-07-06,480.0,240.0,NA,Hertfordshire,1960-04-01,523671,TL2367132928,125.79,ESL0260-R01,Eastern Power Networks (EPN),North Hertfordshire,E07000099,62.2,82.1,193.0,0.15,-28.35,2026-11-26,232928,SG6 2ER,2,100%,HOT,EPN-S0000000D8014,LETCHWORTH GRID 132/33kV,Grid Substation,132,"51.9810578589643, -0.20069463512711",\N,\N,191.0,225.2,180.0,239.5,LETCHWORTH NORTH,"90, 90","108, 108",mime.soak.grapes
,,,,,,,,,,,,,,No,0.0,0.0,0.0,0.0,0.0,,,86.4,,,,,,90.0,90.0,,,,,41.28,50.02,,,0.0,0.0,0.0,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2018-10-03,0.0,0.0,NA,Greater London,1964-04-01,520788,TQ2078889847,0.0,ELP0061027-R01,Eastern Power Networks (EPN),Barnet,E09000003,47,64.9,0.0,0.06,0.0,2034-11-26,189847,NW9 5ED,2,100%,HOT,EPN-S0000000D8034,HENDON GRID 132/33kV,Grid Substation,132,"51.5945300965162, -0.257634242351455",\N,\N,0.0,0.0,0.0,0.0,COLINDALE,"90, 90","117, 117",jobs.clown.nearly
,,LUTON NORTH GRID 132/33kV,,,,,,,,,,,,No,0.0,0.0,0.0,30.0,0.0,,,86.4,,,,,,90.0,60.0,SUNDON 132kV,,,,52.99,63.74,,,0.0,30.0,30.0,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2011-01-18,0.0,0.0,NA,Bedfordshire,1966-04-01,508427,TL0842724419,0.0,P-10-696-184,Eastern Power Networks (EPN),Luton,E06000032,34.8,50.6,0.0,0.05,0.0,2040-11-22,224419,LU3 2AD,2,100%,COLD,EPN-S0000000D8056,LUTON NORTH GRID 132/33kV,Grid Substation,132,"51.9077650978683, -0.425238695984649",\N,\N,0.0,0.0,0.0,0.0,LUTON NORTH,"90, 90","117, 117",verse.lights.every
,,Luton South Grid 33kV,,,,,,,,,,,,Yes,26.592528611530998,0.0,0.0,57.989999999999995,10.0,,,86.4,,,,,,90.0,22.010000000000005,Sundon,,,,43.68,55.97,,,0.0,67.99,67.99,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2020-10-19,0.0,0.0,0.66Ω 0.00Deg,Bedfordshire,1984-04-01,510165,TL1016520775,92.62,ELP03607026-R01,Eastern Power Networks (EPN),Luton,E06000032,44.5,58.7,26.72,0.1,0.0,2036-11-26,220775,LU2 0SX,2,100%,COLD,EPN-S0000000D8057,LUTON SOUTH GRID 132/33kV,Grid Substation,132,"51.8746745583959, -0.401147204474172",\N,\N,0.0,0.0,0.0,0.0,LUTON SOUTH,"90, 90","117, 117",frosted.draw.shall
,,Cell Barnes Grid 33kV,,,,,,,,,,,,Yes,5.008635578583766,0.0,0.0,22.0,0.0,,,86.4,,,,,,90.0,68.0,Elstree,,,,47.62,52.03,,,0.0,22.0,22.0,,90.0,108.0,90.0,108.0,,,,,,,,,,,,,,2019-08-23,360.0,960.0,0.59Ω 0.00Deg,Hertfordshire,1966-04-01,516507,TL1650706489,23.16,ELP02011021-R01,Eastern Power Networks (EPN),St Albans,E07000240,40.4,53.8,349.21,0.19,133.84,2035-11-26,206489,AL1 5PU,2,100%,HOT,EPN-S0000000D8088,CELL BARNES GRID 132/33kV,Grid Substation,132,"51.7449977816522, -0.313863401555305",\N,\N,-34.6,363.3,285.8,378.8,ST ALBANS EAST,"90, 90","108, 108",living.summer.piles
,,Houghton Regis Grid 33kV,,,,,,,,,,,,No,4.991202346041071,0.0,0.0,0.0,16.198999999999998,,,86.4,,,,,,90.0,73.801,Sundon,,,,38.5,51.46,,,0.0,16.198999999999998,16.198999999999998,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2011-05-06,0.0,0.0,0.10Ω 0.00Deg,Bedfordshire,1956-04-01,502379,TL0237923014,17.05,P-10-696-186,Eastern Power Networks (EPN),Central Bedfordshire,E06000056,49.9,63.4,26.72,\N,0.0,2026-11-26,223014,LU5 4SB,2,100%,HOT,EPN-S0000000D8096,HOUGHTON REGIS GRID 132/33kV,Grid Substation,132,"51.8962802853099, -0.513540473304274",\N,\N,0.0,0.0,0.0,0.0,DUNSTABLE NORTH,"90, 90","117, 117",rested.waddle.atom
,,Piccotts End Grid 33kV,,,,,,,,,,,,Yes,52.498574957248714,0.0,0.0,0.0,50.0,,,86.4,,,,,,90.0,40.0,Elstree,,,,43.49,61.82,,,0.0,50.0,50.0,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2019-09-20,360.0,960.0,0.96Ω 0.00Deg,Hertfordshire,1960-04-01,504740,TL04740938,105.25999999999999,ELP02011029-R01,Eastern Power Networks (EPN),Dacorum,E07000096,44.7,52.6,349.21,0.14,133.84,2035-11-26,209380,HP1 3BA,2,100%,COLD,EPN-S0000000D8098,PICCOTTS END GRID 132/33kV,Grid Substation,132,"51.773302564836, -0.483363443132631",\N,\N,-34.6,363.3,285.8,378.8,HEMEL HEMPSTEAD NORTH,"90, 90","117, 117",buzz.verge.preoccupied
,,Wymondley Grid 33kV,,,,,,,,,,,,Yes,5.015197568389058,0.0,0.0,25.0,0.0,,,86.4,,,,,,90.0,65.0,Wymondley,,,,59.14,73.06,,,0.0,25.0,25.0,,90.0,117.0,90.0,117.0,,,,,,,,,,,,,,2017-04-12,480.0,240.0,0.41Ω 0.00Deg,Hertfordshire,1968-04-01,520644,TL2064427047,26.32,ESL1992011-R01,Eastern Power Networks (EPN),North Hertfordshire,E07000099,28.4,40.9,193.0,0.17,-28.35,2026-11-26,227047,SG4 7JL,2,100%,HOT,EPN-S0000000D8109,WYMONDLEY GRID 132/33kV,Grid Substation,132,"51.9288728355622, -0.246809514039809",\N,\N,191.0,225.2,180.0,239.5,ST IPPOLYTS,"90, 90","117, 117",faded.spoke.nails
